station_id	stationname	date	daytype	rides
40700	Laramie	11/02/2016	W	1275
40310	Western-Orange	01/21/2016	W	3929
40800	Sedgwick	04/26/2016	W	3967
40390	Forest Park	06/04/2016	A	1887
41440	Addison-Brown	07/12/2016	W	2364
41080	47th-South Elevated	04/26/2016	W	1253
40580	54th/Cermak	02/03/2016	W	2209
40090	Damen-Brown	05/08/2016	U	1098
40510	Garfield-South Elevated	09/06/2016	W	1328
40340	Berwyn	11/29/2016	W	3596
40230	Cumberland	09/21/2016	W	5248
40150	Pulaski-Cermak	08/18/2016	W	1115
40130	51st	05/06/2016	W	1168
40170	Ashland-Lake	11/24/2016	U	573
40240	79th	12/06/2016	W	7527
40750	Harlem-O'Hare	10/18/2016	W	3256
40170	Ashland-Lake	11/09/2016	W	2615
41180	Kedzie-Brown	01/17/2016	U	790
40640	Madison/Wabash	03/12/2016	A	0
40420	Cicero-Cermak	08/15/2016	W	1250
41160	Clinton-Lake	06/07/2016	W	4465
41460	Irving Park-Brown	06/01/2016	W	3501
40510	Garfield-South Elevated	06/29/2016	W	1316
40370	Washington/Dearborn	06/26/2016	U	6364
41140	King Drive	07/12/2016	W	667
40350	UIC-Halsted	02/05/2016	W	7352
41410	Chicago/Milwaukee	04/23/2016	A	1968
41420	Addison-North Main	04/11/2016	W	15232
40630	Clark/Division	10/25/2016	W	8526
41680	Oakton-Skokie	08/09/2016	W	1010
41420	Addison-North Main	02/21/2016	U	3808
40580	54th/Cermak	09/10/2016	A	1234
41010	Rockwell	04/03/2016	U	769
41400	Roosevelt	04/16/2016	A	10566
41120	35-Bronzeville-IIT	06/13/2016	W	1690
40930	Midway Airport	05/12/2016	W	9532
41400	Roosevelt	04/12/2016	W	10895
40790	Monroe/Dearborn	01/27/2016	W	7706
41180	Kedzie-Brown	01/11/2016	W	1741
40790	Monroe/Dearborn	08/21/2016	U	2355
40260	State/Lake	05/05/2016	W	11192
40240	79th	03/17/2016	W	7405
41450	Chicago/State	03/28/2016	W	13939
40100	Morse	11/06/2016	U	3278
40270	Main	03/10/2016	W	1203
40770	Lawrence	12/29/2016	W	2932
40050	Davis	01/01/2016	U	1415
40970	Cicero-Forest Park	02/11/2016	W	1434
40090	Damen-Brown	12/02/2016	W	3187
40330	Grand/State	12/31/2016	A	9012
41120	35-Bronzeville-IIT	07/29/2016	W	1792
40370	Washington/Dearborn	03/13/2016	U	3899
40310	Western-Orange	09/14/2016	W	4320
40790	Monroe/Dearborn	02/29/2016	W	7691
40760	Granville	11/05/2016	A	4077
40270	Main	08/18/2016	W	1275
41430	87th	11/14/2016	W	4331
41190	Jarvis	09/10/2016	A	1304
41070	Kedzie-Lake	05/03/2016	W	1728
40920	Pulaski-Forest Park	12/28/2016	W	1492
40090	Damen-Brown	02/29/2016	W	2864
40250	Kedzie-Homan-Forest Park	09/01/2016	W	2405
40530	Diversey	12/13/2016	W	5475
40060	Belmont-O'Hare	10/02/2016	U	2636
40660	Armitage	02/04/2016	W	4673
41660	Lake/State	12/04/2016	U	9726
40310	Western-Orange	12/11/2016	U	1257
41300	Loyola	01/14/2016	W	4652
40100	Morse	01/15/2016	W	4976
40960	Pulaski-Orange	01/02/2016	A	1853
40560	Jackson/State	06/18/2016	A	7222
40640	Madison/Wabash	09/04/2016	U	0
41150	Kedzie-Midway	05/11/2016	W	3647
41300	Loyola	08/28/2016	U	3599
40270	Main	10/24/2016	W	1231
40370	Washington/Dearborn	07/01/2016	W	12169
41170	Garfield-Dan Ryan	08/02/2016	W	3755
40590	Damen/Milwaukee	03/11/2016	W	8109
40770	Lawrence	04/07/2016	W	3811
41200	Argyle	04/13/2016	W	3294
40020	Harlem-Lake	05/03/2016	W	3832
41010	Rockwell	01/15/2016	W	1922
40210	Damen-Cermak	12/12/2016	W	1575
41040	Kedzie-Cermak	06/21/2016	W	1177
40140	Dempster-Skokie	02/18/2016	W	1745
40710	Chicago/Franklin	02/10/2016	W	7117
40480	Cicero-Lake	06/01/2016	W	1420
40720	East 63rd-Cottage Grove	04/20/2016	W	1085
40710	Chicago/Franklin	10/07/2016	W	7387
40420	Cicero-Cermak	09/26/2016	W	1282
40020	Harlem-Lake	05/17/2016	W	3640
40160	LaSalle/Van Buren	02/05/2016	W	2859
41440	Addison-Brown	07/28/2016	W	2712
40020	Harlem-Lake	10/21/2016	W	4098
40540	Wilson	12/08/2016	W	5722
41400	Roosevelt	04/26/2016	W	10981
40610	Ridgeland	11/23/2016	W	1095
40790	Monroe/Dearborn	05/26/2016	W	8100
40150	Pulaski-Cermak	11/12/2016	A	740
