40380	Clark/Lake	03/12/2009	W	17986
41210	Wellington	08/02/2017	W	3266
40330	Grand/State	11/02/2010	W	8412
41320	Belmont-North Main	08/30/2012	W	12885
40530	Diversey	11/11/2007	U	0
41440	Addison-Brown	08/29/2005	W	1856
40060	Belmont-O'Hare	01/20/2009	W	4565
41300	Loyola	09/27/2007	W	5489
41120	35-Bronzeville-IIT	03/12/2005	A	1074
40480	Cicero-Lake	03/31/2014	W	1575
40370	Washington/Dearborn	05/30/2003	W	8741
40070	Jackson/Dearborn	08/29/2016	W	7479
40270	Main	07/24/2002	W	1280
41280	Jefferson Park	05/24/2002	W	6060
40680	Adams/Wabash	05/03/2007	W	8342
40260	State/Lake	07/10/2011	U	4861
41360	California-Lake	11/08/2012	W	1231
41290	Kimball	04/17/2009	W	3967
41260	Austin-Lake	12/11/2003	W	1946
41190	Jarvis	12/07/2002	A	1048
40650	North/Clybourn	04/10/2017	W	5118
41210	Wellington	11/08/2006	W	2761
40030	Pulaski-Lake	01/28/2003	W	1371
41300	Loyola	12/23/2006	A	2353
41220	Fullerton	02/25/2006	A	6773
40450	95th/Dan Ryan	03/29/2011	W	12749
40300	Indiana	05/02/2017	W	888
41360	California-Lake	02/22/2008	W	1141
41170	Garfield-Dan Ryan	05/16/2005	W	4225
41440	Addison-Brown	07/21/2007	A	0
40530	Diversey	02/11/2007	U	1181
41290	Kimball	07/03/2001	W	5625
41250	Central-Evanston	11/17/2011	W	956
40920	Pulaski-Forest Park	02/12/2004	W	1040
40140	Dempster-Skokie	08/23/2013	W	2133
41420	Addison-North Main	08/16/2017	W	14031
40630	Clark/Division	12/08/2012	A	7034
40780	Central Park	05/23/2007	W	894
41690	Cermak-McCormick Place	09/27/2016	W	1440
40700	Laramie	12/09/2009	W	1262
41230	47th-Dan Ryan	11/13/2009	W	3760
41400	Roosevelt	06/15/2009	W	9824
41660	Lake/State	12/21/2015	W	20752
41400	Roosevelt	04/20/2007	W	8263
40070	Jackson/Dearborn	04/30/2004	W	6345
41440	Addison-Brown	05/18/2003	U	433
40650	North/Clybourn	04/25/2004	U	2508
41200	Argyle	09/25/2008	W	2615
41500	Montrose-Brown	01/05/2010	W	2155
41460	Irving Park-Brown	02/15/2007	W	3197
