station_id	stationname	date	daytype	rides
40470	Racine	11/29/2015	U	670
40550	Irving Park-O'Hare	07/27/2015	W	4649
40890	O'Hare Airport	01/01/2015	U	7403
40600	Kostner	10/05/2015	W	590
40580	54th/Cermak	07/09/2015	W	2763
40530	Diversey	05/09/2015	A	2848
41490	Harrison	05/20/2015	W	3876
40390	Forest Park	10/23/2015	W	3854
40690	Dempster	10/12/2015	W	873
40390	Forest Park	04/27/2015	W	3857
41250	Central-Evanston	06/10/2015	W	839
40820	Rosemont	10/21/2015	W	7456
41130	Halsted-Orange	09/16/2015	W	3329
41180	Kedzie-Brown	12/10/2015	W	2109
41440	Addison-Brown	02/03/2015	W	2982
40750	Harlem-O'Hare	03/28/2015	A	1361
40370	Washington/Dearborn	03/16/2015	W	11982
40350	UIC-Halsted	07/28/2015	W	3762
41460	Irving Park-Brown	03/07/2015	A	1694
40250	Kedzie-Homan-Forest Park	10/26/2015	W	2520
40720	East 63rd-Cottage Grove	11/05/2015	W	1473
40800	Sedgwick	07/13/2015	W	3820
40370	Washington/Dearborn	01/18/2015	U	2771
41380	Bryn Mawr	05/28/2015	W	5142
40720	East 63rd-Cottage Grove	02/16/2015	W	873
40200	Randolph/Wabash	07/02/2015	W	11840
40240	79th	07/20/2015	W	7679
41150	Kedzie-Midway	08/31/2015	W	2831
40060	Belmont-O'Hare	02/12/2015	W	5427
41440	Addison-Brown	08/04/2015	W	2278
41690	Cermak-McCormick Place	08/20/2015	W	1309
40470	Racine	01/27/2015	W	2787
40090	Damen-Brown	09/03/2015	W	2917
40480	Cicero-Lake	05/19/2015	W	1564
40070	Jackson/Dearborn	06/09/2015	W	8321
41670	Conservatory	06/27/2015	A	771
40750	Harlem-O'Hare	09/14/2015	W	3332
40360	Southport	04/25/2015	A	1836
40320	Division/Milwaukee	07/07/2015	W	6386
40900	Howard	06/25/2015	W	7895
40040	Quincy/Wells	09/24/2015	W	8193
40960	Pulaski-Orange	03/19/2015	W	5730
41180	Kedzie-Brown	11/18/2015	W	2116
40140	Dempster-Skokie	01/09/2015	W	1620
40750	Harlem-O'Hare	12/04/2015	W	3365
40220	Western-Forest Park	01/10/2015	A	839
40970	Cicero-Forest Park	04/23/2015	W	1524
41480	Western-Brown	11/28/2015	A	2312
40510	Garfield-South Elevated	09/14/2015	W	1575
40300	Indiana	09/02/2015	W	1044
40210	Damen-Cermak	03/02/2015	W	1548
40380	Clark/Lake	05/08/2015	W	21583
40570	California/Milwaukee	12/04/2015	W	5669
40470	Racine	03/07/2015	A	1255
41170	Garfield-Dan Ryan	02/21/2015	A	2702
40130	51st	09/06/2015	U	700
40880	Thorndale	11/19/2015	W	3200
41300	Loyola	02/12/2015	W	5854
40920	Pulaski-Forest Park	12/18/2015	W	1930
40690	Dempster	08/21/2015	W	1058
40810	Medical Center	12/10/2015	W	4167
40900	Howard	12/05/2015	A	4576
41260	Austin-Lake	04/07/2015	W	1939
41120	35-Bronzeville-IIT	11/24/2015	W	2403
40790	Monroe/Dearborn	03/22/2015	U	1859
40530	Diversey	02/07/2015	A	3716
41080	47th-South Elevated	05/30/2015	A	808
41490	Harrison	06/19/2015	W	4340
41090	Monroe/State	01/27/2015	W	11381
40520	Foster	04/02/2015	W	909
40090	Damen-Brown	01/18/2015	U	980
40280	Central-Lake	06/28/2015	U	1567
40140	Dempster-Skokie	07/24/2015	W	0
41450	Chicago/State	09/12/2015	A	14006
41140	King Drive	01/07/2015	W	396
40190	Sox-35th-Dan Ryan	03/15/2015	U	2284
40370	Washington/Dearborn	09/25/2015	W	12687
41420	Addison-North Main	10/04/2015	U	5100
40750	Harlem-O'Hare	12/29/2015	W	2330
40120	35th/Archer	06/18/2015	W	3796
40190	Sox-35th-Dan Ryan	06/24/2015	W	4446
41130	Halsted-Orange	03/05/2015	W	3051
40240	79th	01/06/2015	W	6734
40570	California/Milwaukee	05/10/2015	U	2051
41030	Polk	08/23/2015	U	821
41090	Monroe/State	08/30/2015	U	4348
41340	LaSalle	11/30/2015	W	3346
40380	Clark/Lake	08/29/2015	A	7679
41420	Addison-North Main	01/19/2015	W	4923
40940	Halsted/63rd	02/17/2015	W	843
40150	Pulaski-Cermak	02/27/2015	W	1273
40570	California/Milwaukee	01/01/2015	U	2344
