station_id	stationname	date	daytype	rides
41210	Wellington	01/27/2002	U	468
41220	Fullerton	12/28/2002	A	3442
41480	Western-Brown	05/22/2002	W	3348
40030	Pulaski-Lake	09/14/2002	A	844
41050	Linden	03/13/2002	W	1083
40520	Foster	05/17/2002	W	718
41170	Garfield-Dan Ryan	09/27/2002	W	4433
41000	Cermak-Chinatown	04/24/2002	W	2933
41050	Linden	03/07/2002	W	1062
41320	Belmont-North Main	11/28/2002	U	2741
40870	Francisco	12/20/2002	W	1049
41060	Ashland-Orange	07/13/2002	A	705
41500	Montrose-Brown	12/15/2002	U	636
40730	Washington/Wells	06/29/2002	A	795
41080	47th-South Elevated	04/08/2002	W	1045
41250	Central-Evanston	05/24/2002	W	889
40290	Ashland/63rd	12/07/2002	A	951
40150	Pulaski-Cermak	03/04/2002	W	342
40890	O'Hare Airport	12/29/2002	U	8445
40560	Jackson/State	08/15/2002	W	12218
40250	Kedzie-Homan-Forest Park	05/27/2002	U	783
40550	Irving Park-O'Hare	02/21/2002	W	3558
40570	California/Milwaukee	12/24/2002	W	1658
41430	87th	11/07/2002	W	5844
41340	LaSalle	12/09/2002	W	2372
41430	87th	06/17/2002	W	5234
40730	Washington/Wells	09/25/2002	W	7268
40850	Library	04/23/2002	W	2731
41250	Central-Evanston	02/28/2002	W	878
40960	Pulaski-Orange	03/29/2002	W	3266
41450	Chicago/State	11/22/2002	W	15251
40910	63rd-Dan Ryan	06/27/2002	W	3351
40800	Sedgwick	05/31/2002	W	2777
40720	East 63rd-Cottage Grove	07/08/2002	W	1430
40720	East 63rd-Cottage Grove	06/28/2002	W	1473
40340	Berwyn	07/29/2002	W	3269
40900	Howard	12/04/2002	W	5964
40600	Kostner	05/25/2002	A	2
41320	Belmont-North Main	03/29/2002	W	8744
40070	Jackson/Dearborn	03/11/2002	W	7234
41290	Kimball	04/27/2002	A	2142
41090	Monroe/State	10/07/2002	W	6892
40220	Western-Forest Park	02/04/2002	W	1008
41350	Oak Park-Lake	07/14/2002	U	536
