station_id	stationname	date	daytype	rides
40850	Library	11/05/2001	W	2930
41090	Monroe/State	08/04/2001	A	2876
40780	Central Park	05/02/2001	W	446
40020	Harlem-Lake	07/22/2001	U	1078
41380	Bryn Mawr	07/16/2001	W	4419
41160	Clinton-Lake	08/09/2001	W	1837
41220	Fullerton	08/05/2001	U	3779
41500	Montrose-Brown	10/30/2001	W	2116
41330	Montrose-O'Hare	04/11/2001	W	1991
41490	Harrison	04/01/2001	U	1702
41060	Ashland-Orange	12/08/2001	A	648
41050	Linden	11/24/2001	A	574
41380	Bryn Mawr	11/24/2001	A	2506
40940	Halsted/63rd	04/25/2001	W	766
40850	Library	09/02/2001	U	492
41360	California-Lake	05/09/2001	W	949
40480	Cicero-Lake	03/17/2001	A	731
40140	Skokie	02/20/2001	W	2651
40820	Rosemont	02/25/2001	U	1604
40050	Davis	11/19/2001	W	3725
41000	Cermak-Chinatown	02/15/2001	W	2718
40330	Grand/State	01/08/2001	W	8221
41250	Central-Evanston	03/18/2001	U	287
40190	Sox-35th-Dan Ryan	12/12/2001	W	3571
40160	LaSalle/Van Buren	02/02/2001	W	3559
40120	35th/Archer	02/23/2001	W	2134
40170	Ashland-Lake	09/28/2001	W	1595
40650	North/Clybourn	10/01/2001	W	3796
40360	Southport	03/02/2001	W	2786
41460	Irving Park-Brown	05/22/2001	W	2527
40440	California-Cermak	02/25/2001	U	0
41020	Logan Square	04/19/2001	W	4678
40140	Skokie	10/26/2001	W	2587
40890	O'Hare Airport	05/18/2001	W	10738
40680	Adams/Wabash	08/10/2001	W	6838
41330	Montrose-O'Hare	06/05/2001	W	1957
40300	Indiana	06/20/2001	W	612
40680	Adams/Wabash	04/09/2001	W	7630
41230	47th-Dan Ryan	02/16/2001	W	2624
41060	Ashland-Orange	01/02/2001	W	988
40440	California-Cermak	01/22/2001	W	832
40900	Howard	12/13/2001	W	6044
41480	Western-Brown	12/08/2001	A	2014
40030	Pulaski-Lake	03/29/2001	W	1564
41130	Halsted-Orange	04/25/2001	W	2499
40130	51st	06/17/2001	U	518
40540	Wilson	02/21/2001	W	5630
40710	Chicago/Franklin	03/29/2001	W	4034
41270	43rd	11/30/2001	W	843
41220	Fullerton	02/05/2001	W	10367
40840	South Boulevard	08/17/2001	W	835
41250	Central-Evanston	07/20/2001	W	1004
40500	Washington/State	11/02/2001	W	7851
40800	Sedgwick	12/23/2001	U	521
40590	Damen/Milwaukee	05/09/2001	W	4373
41440	Addison-Brown	03/22/2001	W	1865
40980	Harlem-Forest Park	01/30/2001	W	799
40600	Kostner	06/19/2001	W	310
41440	Addison-Brown	04/05/2001	W	1821
40510	Garfield-South Elevated	08/03/2001	W	968
40210	Damen-Cermak	05/23/2001	W	717
40390	Forest Park	09/19/2001	W	3825
