station_id	stationname	date	daytype	rides
40100	Morse	08/26/2014	W	5185
40400	Noyes	09/21/2014	U	432
40840	South Boulevard	08/21/2014	W	787
41080	47th-South Elevated	04/07/2014	W	1351
40390	Forest Park	12/31/2014	W	3255
41240	Addison-O'Hare	01/01/2014	U	928
41680	Oakton-Skokie	07/25/2014	W	1060
41350	Oak Park-Lake	01/09/2014	W	1596
41200	Argyle	03/31/2014	W	3229
40600	Kostner	07/02/2014	W	539
40660	Armitage	08/25/2014	W	3519
40940	Halsted/63rd	12/12/2014	W	771
40050	Davis	01/15/2014	W	3934
40920	Pulaski-Forest Park	10/13/2014	W	1793
41240	Addison-O'Hare	09/02/2014	W	3038
40440	California-Cermak	10/10/2014	W	1612
41040	Kedzie-Cermak	11/10/2014	W	1220
40280	Central-Lake	03/31/2014	W	2357
40890	O'Hare Airport	01/10/2014	W	8177
41200	Argyle	05/05/2014	W	3204
40730	Washington/Wells	11/23/2014	U	1041
41260	Austin-Lake	07/07/2014	W	2110
41210	Wellington	08/16/2014	A	1536
40760	Granville	06/19/2014	W	4112
41330	Montrose-O'Hare	02/23/2014	U	838
41350	Oak Park-Lake	06/07/2014	A	1016
40660	Armitage	04/15/2014	W	3861
41500	Montrose-Brown	02/09/2014	U	1121
41220	Fullerton	09/02/2014	W	10863
41380	Bryn Mawr	07/31/2014	W	5004
41080	47th-South Elevated	05/29/2014	W	1499
40790	Monroe/Dearborn	10/21/2014	W	7945
40010	Austin-Forest Park	03/03/2014	W	1853
40010	Austin-Forest Park	06/14/2014	A	1259
41680	Oakton-Skokie	11/20/2014	W	1039
40220	Western-Forest Park	07/09/2014	W	1686
40520	Foster	03/07/2014	W	986
40760	Granville	07/18/2014	W	4532
40780	Central Park	12/04/2014	W	1453
40050	Davis	08/15/2014	W	4083
40930	Midway Airport	03/18/2014	W	8845
40750	Harlem-O'Hare	02/20/2014	W	3108
41170	Garfield-Dan Ryan	04/14/2014	W	3062
40660	Armitage	11/17/2014	W	4486
41020	Logan Square	09/10/2014	W	8353
40920	Pulaski-Forest Park	04/15/2014	W	1606
41250	Central-Evanston	06/06/2014	W	877
40800	Sedgwick	07/25/2014	W	4444
40380	Clark/Lake	06/20/2014	W	19702
